clamp |V| <= 7.5 A   (real data max 7.49)
   step   |V| max    bond      Rg
   2000      7.21   3.809   11.11
   4000      7.48   3.790   10.92
   6000      6.19   3.882   25.23
   8000      6.99   3.818   11.67
  10000      5.75   3.868   27.94
  12000      7.22   3.897   27.67
  14000      6.37   3.859   28.30
  16000      6.05   3.840   29.90
  18000      6.24   3.874   29.85
  20000      6.38   3.800   11.31
  22000      5.97   3.834   30.99
  24000      6.25   3.870   26.75
  26000      6.78   3.811   28.85
  28000      6.19   3.851   27.77
  30000      6.75   3.879   28.05
  32000      5.86   3.847   28.86
  34000      6.34   3.858   27.74
  36000      5.91   3.859   28.04
  38000      6.86   3.861   28.12
  40000      6.58   3.846   29.11
  42000      5.35   3.818   26.72
  44000      6.24   3.848   28.52
  46000      6.29   3.863   21.13
  48000      7.41   3.847   16.05
  50000      6.15   3.815   13.62
  52000      5.81   3.777   10.45
  54000      6.64   3.800    9.53
  56000      6.50   3.780    9.61
  58000      6.20   3.772   10.03
  60000      5.98   3.795   10.03
  62000      7.42   3.751    9.53
  64000      6.62   3.777    9.88
  66000      6.35   3.774    9.44
  68000      7.05   3.840   15.56
  70000      7.34   3.800   10.96
  72000      7.49   3.850   26.21
  74000      6.34   3.880   27.79
  76000      5.44   3.816   29.58
  78000      6.12   3.845   27.47
  80000      7.02   3.819   11.04
  82000      6.53   3.795   10.27
  84000      6.62   3.847   17.96
  86000      6.34   3.794   11.90
  88000      6.09   3.791   12.39
  90000      5.39   3.817   12.42
  92000      6.36   3.812   11.80
  94000      6.50   3.825   11.06
  96000      6.66   3.811   11.04
  98000      5.91   3.812   12.15
 100000      5.48   3.771   12.14
 102000      7.20   3.892   26.55
 104000      7.00   3.869   28.94
 106000      6.72   3.873   27.55
 108000      6.91   3.858   21.08
 110000      7.07   3.786   10.56
 112000      6.40   3.764   10.59
 114000      6.22   3.794   10.66
 116000      6.90   3.835   27.99
 118000      6.37   3.758   10.68
 120000      7.26   3.767   10.21
 122000      7.03   3.766    9.84
 124000      7.15   3.743    9.99
 126000      7.33   3.758    9.84
 128000      7.24   3.750    9.86
 130000      6.18   3.761    9.80
 132000      6.39   3.767   10.54
 134000      6.88   3.820   11.07
 136000      5.70   3.797   10.19
 138000      6.67   3.761   10.01
 140000      6.62   3.775    9.89
 142000      7.18   3.762    9.85
 144000      6.73   3.781    9.74
 146000      6.99   3.753    9.45
 148000      6.82   3.804   11.65
 150000      6.09   3.793    9.66
 152000      7.06   3.781   10.30
 154000      7.48   3.784    9.95
 156000      6.84   3.812   10.15
 158000      7.05   3.801    9.80
 160000      6.18   3.798   11.90
 162000      6.34   3.858   30.79
 164000      6.04   3.803   11.37
 166000      6.30   3.915   26.97
 168000      5.48   3.791   11.01
 170000      6.53   3.798   10.43
 172000      6.72   3.802   10.88
 174000      6.98   3.781   11.81
 176000      6.91   3.772   11.01
 178000      7.11   3.811   11.81
 180000      5.57   3.782   11.38
 182000      6.90   3.810   11.50
 184000      7.16   3.786   10.07
 186000      6.14   3.783   10.64
 188000      6.99   3.787   10.84
 190000      7.50   3.786   10.16
 192000      5.58   3.868   20.83
 194000      6.02   3.850   32.30
 196000      7.22   3.855   26.56
 198000      6.85   3.800   11.34
 200000      6.73   3.802   10.83

survived all 200000 steps
